"Time Stamp","Time Zone","Name","PTID","Load"
"07/27/2025 00:35:00","EDT","N.Y.C.",61761,6268.84
"07/27/2025 00:35:00","EDT","NORTH",61755,576.1367
"07/27/2025 00:35:00","EDT","WEST",61752,2050.0889
"07/27/2025 00:40:00","EDT","CAPITL",61757,1441.336
"07/27/2025 00:40:00","EDT","CENTRL",61754,1909.3065
"07/27/2025 00:40:00","EDT","DUNWOD",61760,728.5328
"07/27/2025 00:40:00","EDT","GENESE",61753,1297.8285
"07/27/2025 00:40:00","EDT","HUD VL",61758,1220.3158
"07/27/2025 00:40:00","EDT","LONGIL",61762,2567.5918
"07/27/2025 00:40:00","EDT","MHK VL",61756,947.8831
"07/27/2025 00:40:00","EDT","MILLWD",61759,319.5343
"07/27/2025 00:40:00","EDT","N.Y.C.",61761,6271.84
"07/27/2025 00:40:00","EDT","NORTH",61755,590.4467
"07/27/2025 00:40:00","EDT","WEST",61752,2047.5671
"07/27/2025 00:45:00","EDT","CAPITL",61757,1448.8512
"07/27/2025 00:45:00","EDT","CENTRL",61754,1893.7021
"07/27/2025 00:45:00","EDT","DUNWOD",61760,729.5878
"07/27/2025 00:45:00","EDT","GENESE",61753,1295.511
"07/27/2025 00:45:00","EDT","HUD VL",61758,1221.4122
"07/27/2025 00:45:00","EDT","LONGIL",61762,2548.294
"07/27/2025 00:45:00","EDT","MHK VL",61756,943.2117
"07/27/2025 00:45:00","EDT","MILLWD",61759,312.7815
"07/27/2025 00:45:00","EDT","N.Y.C.",61761,6253.7744
"07/27/2025 00:45:00","EDT","NORTH",61755,591.0978
"07/27/2025 00:45:00","EDT","WEST",61752,2048.4214
"07/27/2025 00:50:00","EDT","CAPITL",61757,1432.8168
"07/27/2025 00:50:00","EDT","CENTRL",61754,1854.7201
"07/27/2025 00:50:00","EDT","DUNWOD",61760,728.4833
"07/27/2025 00:50:00","EDT","GENESE",61753,1295.7351
"07/27/2025 00:50:00","EDT","HUD VL",61758,1207.9788
"07/27/2025 00:50:00","EDT","LONGIL",61762,2547.242
"07/27/2025 00:50:00","EDT","MHK VL",61756,942.6768
"07/27/2025 00:50:00","EDT","MILLWD",61759,306.7506
"07/27/2025 00:50:00","EDT","N.Y.C.",61761,6248.3633
"07/27/2025 00:50:00","EDT","NORTH",61755,586.8615
"07/27/2025 00:50:00","EDT","WEST",61752,2049.9612
"07/27/2025 00:55:00","EDT","CAPITL",61757,1432.2026
"07/27/2025 00:55:00","EDT","CENTRL",61754,1840.5879
"07/27/2025 00:55:00","EDT","DUNWOD",61760,710.3724
"07/27/2025 00:55:00","EDT","GENESE",61753,1279.6588
"07/27/2025 00:55:00","EDT","HUD VL",61758,1208.8657
"07/27/2025 00:55:00","EDT","LONGIL",61762,2532.1401
"07/27/2025 00:55:00","EDT","MHK VL",61756,960.1399
"07/27/2025 00:55:00","EDT","MILLWD",61759,313.0234
"07/27/2025 00:55:00","EDT","N.Y.C.",61761,6247.575
"07/27/2025 00:55:00","EDT","NORTH",61755,553.3901
"07/27/2025 00:55:00","EDT","WEST",61752,2032.1528
"07/27/2025 01:00:00","EDT","CAPITL",61757,1431.8865
"07/27/2025 01:00:00","EDT","CENTRL",61754,1872.3995
"07/27/2025 01:00:00","EDT","DUNWOD",61760,718.8898
"07/27/2025 01:00:00","EDT","GENESE",61753,1278.251
"07/27/2025 01:00:00","EDT","HUD VL",61758,1196.1599
"07/27/2025 01:00:00","EDT","LONGIL",61762,2511.5732
"07/27/2025 01:00:00","EDT","MHK VL",61756,940.1186
"07/27/2025 01:00:00","EDT","MILLWD",61759,307.8849
"07/27/2025 01:00:00","EDT","N.Y.C.",61761,6211.4106
"07/27/2025 01:00:00","EDT","NORTH",61755,574.5466
"07/27/2025 01:00:00","EDT","WEST",61752,2009.6334
"07/27/2025 01:05:00","EDT","CAPITL",61757,1444.0801
"07/27/2025 01:05:00","EDT","CENTRL",61754,1860.9282
"07/27/2025 01:05:00","EDT","DUNWOD",61760,713.895
"07/27/2025 01:05:00","EDT","GENESE",61753,1281.596
"07/27/2025 01:05:00","EDT","HUD VL",61758,1172.6445
"07/27/2025 01:05:00","EDT","LONGIL",61762,2497.8442
"07/27/2025 01:05:00","EDT","MHK VL",61756,939.8285
"07/27/2025 01:05:00","EDT","MILLWD",61759,299.2759
"07/27/2025 01:05:00","EDT","N.Y.C.",61761,6188.0156
"07/27/2025 01:05:00","EDT","NORTH",61755,559.1399
"07/27/2025 01:05:00","EDT","WEST",61752,2008.745
"07/27/2025 01:10:00","EDT","CAPITL",61757,1426.4393
"07/27/2025 01:10:00","EDT","CENTRL",61754,1855.884
"07/27/2025 01:10:00","EDT","DUNWOD",61760,704.4863
"07/27/2025 01:10:00","EDT","GENESE",61753,1271.6799
"07/27/2025 01:10:00","EDT","HUD VL",61758,1199.9216
"07/27/2025 01:10:00","EDT","LONGIL",61762,2478.3735
"07/27/2025 01:10:00","EDT","MHK VL",61756,925.2571
"07/27/2025 01:10:00","EDT","MILLWD",61759,309.2707
"07/27/2025 01:10:00","EDT","N.Y.C.",61761,6179.696
"07/27/2025 01:10:00","EDT","NORTH",61755,588.3805
"07/27/2025 01:10:00","EDT","WEST",61752,2013.6729
"07/27/2025 01:15:00","EDT","CAPITL",61757,1418.9026
"07/27/2025 01:15:00","EDT","CENTRL",61754,1824.806
"07/27/2025 01:15:00","EDT","DUNWOD",61760,713.4932
"07/27/2025 01:15:00","EDT","GENESE",61753,1265.2998
"07/27/2025 01:15:00","EDT","HUD VL",61758,1178.5248
"07/27/2025 01:15:00","EDT","LONGIL",61762,2468.3877
"07/27/2025 01:15:00","EDT","MHK VL",61756,919.8232
"07/27/2025 01:15:00","EDT","MILLWD",61759,311.1692
"07/27/2025 01:15:00","EDT","N.Y.C.",61761,6152.998
"07/27/2025 01:15:00","EDT","NORTH",61755,577.9736
"07/27/2025 01:15:00","EDT","WEST",61752,1995.3245
"07/27/2025 01:20:00","EDT","CAPITL",61757,1422.6583
"07/27/2025 01:20:00","EDT","CENTRL",61754,1846.9866
"07/27/2025 01:20:00","EDT","DUNWOD",61760,703.5042
"07/27/2025 01:20:00","EDT","GENESE",61753,1255.464
"07/27/2025 01:20:00","EDT","HUD VL",61758,1151.8748
"07/27/2025 01:20:00","EDT","LONGIL",61762,2468.1365
"07/27/2025 01:20:00","EDT","MHK VL",61756,923.1683
"07/27/2025 01:20:00","EDT","MILLWD",61759,316.4749
"07/27/2025 01:20:00","EDT","N.Y.C.",61761,6121.915
"07/27/2025 01:20:00","EDT","NORTH",61755,566.6683
"07/27/2025 01:20:00","EDT","WEST",61752,1999.4431
"07/27/2025 01:25:00","EDT","CAPITL",61757,1413.514
"07/27/2025 01:25:00","EDT","CENTRL",61754,1841.9606
"07/27/2025 01:25:00","EDT","DUNWOD",61760,697.1367
"07/27/2025 01:25:00","EDT","GENESE",61753,1260.8632
"07/27/2025 01:25:00","EDT","HUD VL",61758,1160.6921
"07/27/2025 01:25:00","EDT","LONGIL",61762,2454.8926
"07/27/2025 01:25:00","EDT","MHK VL",61756,930.4194
"07/27/2025 01:25:00","EDT","MILLWD",61759,316.0518
"07/27/2025 01:25:00","EDT","N.Y.C.",61761,6125.542
"07/27/2025 01:25:00","EDT","NORTH",61755,567.0804
"07/27/2025 01:25:00","EDT","WEST",61752,1988.2283
"07/27/2025 01:30:00","EDT","CAPITL",61757,1408.7493
"07/27/2025 01:30:00","EDT","CENTRL",61754,1846.0304
"07/27/2025 01:30:00","EDT","DUNWOD",61760,708.7018
"07/27/2025 01:30:00","EDT","GENESE",61753,1248.675
"07/27/2025 01:30:00","EDT","HUD VL",61758,1178.68
"07/27/2025 01:30:00","EDT","LONGIL",61762,2436.2803
"07/27/2025 01:30:00","EDT","MHK VL",61756,905.1489
"07/27/2025 01:30:00","EDT","MILLWD",61759,286.8069
"07/27/2025 01:30:00","EDT","N.Y.C.",61761,6069.9873
"07/27/2025 01:30:00","EDT","NORTH",61755,588.5644
"07/27/2025 01:30:00","EDT","WEST",61752,1972.6697
"07/27/2025 01:35:00","EDT","CAPITL",61757,1403.7904
"07/27/2025 01:35:00","EDT","CENTRL",61754,1839.5479
"07/27/2025 01:35:00","EDT","DUNWOD",61760,699.7918
"07/27/2025 01:35:00","EDT","GENESE",61753,1243.8804
"07/27/2025 01:35:00","EDT","HUD VL",61758,1150.9833
"07/27/2025 01:35:00","EDT","LONGIL",61762,2440.4878
"07/27/2025 01:35:00","EDT","MHK VL",61756,908.0848
"07/27/2025 01:35:00","EDT","MILLWD",61759,297.2404
"07/27/2025 01:35:00","EDT","N.Y.C.",61761,6065.8105
"07/27/2025 01:35:00","EDT","NORTH",61755,580.4595
